label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	rss_hwm_kb	visual_ok	date	notes
CAMERA-FX-SMOKE	multi-layer-parallax	44	43.9	22758	22769	24293	44	44	100	100	102	105	22916	22962	21359	21352	1333	1351	9262	16639	596	644	713	749	0	0	20049	20057	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	foreground-silhouettes	44	43.9	22785	22815	24241	44	44	100	100	100	105	22931	23009	21392	21442	1326	1340	8030	14809	587	626	720	761	0	0	20073	20103	10	13	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	fixed-starfield-scroll	43	43.7	22903	22900	23967	43	43	100	100	101	105	23053	23154	21482	21493	1352	1361	8220	15245	593	633	722	803	0	0	20044	20063	122	162	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	sprite-starfield	61	62.1	16101	16554	16749	2	0	21	23	100	105	3325	3368	1629	1652	1517	1573	16277	16653	627	664	746	763	0	0	0	0	255	313	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	line-scroll-depth-bands	31	31.3	31906	32084	32519	31	31	99	100	100	105	32018	32103	30434	30649	1398	1416	10706	16651	625	672	8748	8808	0	0	21060	21145	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	column-scroll-shimmer	15	15.0	66675	67526	67526	15	15	100	100	100	105	66780	67667	65238	66118	1363	1337	4774	5337	623	654	0	0	0	0	64615	65264	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	row-scroll-water	30	30.4	32856	32853	34426	30	30	100	100	100	105	32970	32953	31377	31404	1409	1430	6452	16122	619	661	763	828	29994	30053	0	0	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	heat-haze-raster	30	30.3	33030	33043	35184	30	30	99	100	100	105	33142	33179	31581	31575	1370	1391	10662	14268	619	651	727	755	0	0	21056	21107	0	0	9177	9181	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	perspective-road	61	61.2	16328	16525	16698	2	0	38	41	70	105	6315	6540	4632	4810	1497	1533	16512	16652	616	648	736	773	3258	3435	0	0	21	23	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	checkerboard-floor	47	47.1	21227	21392	22827	47	47	100	101	101	105	21364	21537	19705	19828	1461	1490	9186	16647	607	659	740	837	18357	18401	0	0	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
CAMERA-FX-SMOKE	tube-scaling	36	36.8	27203	29981	30612	36	36	100	100	100	105	27330	30107	25937	28714	1209	1224	8456	16169	579	628	671	727	24686	27481	0	0	0	0	0	0	0	0	20036	not-run	2026-06-12T20:54:55Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
